IDCOLABORADOR,IDADE,INSATISTFEITO,STATUSCIVIL,GENERO,NOME,SETOR,CARGO,CEP,NIVELEDUCACAO,FORMACAO,RENDAMENSAL,DESCONTOULTIMAFATURA,ANONAEMPRESA,ANOSMESMAPOSICAO,ANOSDESDEULTIMAPROMOCAO
1,41,Sim,Solteiro,Feminino,Maria da Silva,Alimentos,Auditor,1,2,Ciencias Sociais,19479,Sim,6,4,0
5,33,Nao,Casado,Feminino,Ana Oliveira,Saude,Pesquisador,3,4,Ciencias Sociais,23159,Sim,8,7,3
10,59,Nao,Casado,Feminino,Juliana Santos,Saude,Tecnico de Laboratorio,3,3,Medicina,9964,Sim,1,0,0
15,29,Nao,Solteiro,Feminino,Fernanda Costa,Saude,Tecnico de Laboratorio,,2,Ciencias Sociais,12682,Sim,9,5,0
20,29,Nao,Divorciado,Feminino,Beatriz Lima,Saude,Diretor de Manufatura,21,4,Ciencias Sociais,10195,Nao,10,9,8
23,53,Nao,Casado,Feminino,Adriana Pereira,Alimentos,Gestor,2,4,Ciencias Sociais,22021,Nao,25,8,3
26,24,Nao,Divorciado,Feminino,Patricia Almeida,Saude,Diretor de Manufatura,11,2,Outros,8232,Nao,4,2,1
28,34,Nao,Solteiro,Feminino,Camila Fernandes,Saude,Diretor de Pesquisa,7,4,Ciencias Sociais,21293,Nao,12,6,2
32,53,Nao,Divorciado,Feminino,Rafaela Martins,Saude,Gestor,5,3,Outros,10735,Nao,14,13,4
33,32,Sim,Solteiro,Feminino,Bianca Carvalho,Saude,Pesquisador,16,1,Ciencias Sociais,4681,Sim,10,2,6
36,44,Nao,Casado,Feminino,Vanessa Souza,Saude,Representante da Saude,7,4,Medicina,2094,Nao,22,6,5
38,46,Nao,Solteiro,Feminino,Luciana Goncalves,Alimentos,Gestor,2,4,Marketing,22822,Nao,2,2,2
46,43,Nao,Divorciado,Feminino,Amanda Rodrigues,Saude,Pesquisador,2,2,Medicina,21923,Nao,5,3,1
49,35,Nao,Casado,Feminino,Isabela Oliveira,Alimentos,Representante de Setor,2,3,Marketing,9687,Nao,2,2,2
51,36,Nao,Casado,Feminino,Larissa Silva,Saude,Pesquisador,,4,Ciencias Sociais,13072,Sim,1,1,0
52,33,Nao,Casado,Feminino,Leticia Santos,Alimentos,Auditor,1,3,Ciencias Sociais,3193,Nao,5,3,1
54,27,Nao,Divorciado,Feminino,Bruna Costa,Saude,Tecnico de Laboratorio,2,4,Ciencias Sociais,19715,Nao,1,0,0
57,30,Nao,Solteiro,Feminino,Carolina Lima,Saude,Tecnico de Laboratorio,1,2,Medicina,10781,Nao,12,8,3
58,41,Sim,Casado,Feminino,Priscila Pereira,Saude,Diretor de Pesquisa,12,3,Formacao Tecnica,16280,Nao,22,15,15
68,44,Nao,Divorciado,Feminino,Thais Almeida,Alimentos,Auditor,1,5,Marketing,4009,Sim,4,3,1
72,26,Nao,Casado,Feminino,Renata Fernandes,Alimentos,Auditor,23,3,Marketing,21436,Sim,2,2,0
73,33,Nao,Solteiro,Feminino,Natalia Martins,Saude,Diretor de Pesquisa,1,2,Ciencias Sociais,15146,Sim,15,14,8
75,35,Nao,Casado,Feminino,Mariana Carvalho,Saude,Tecnico de Laboratorio,23,4,Medicina,16002,Sim,2,2,2
79,38,Nao,Solteiro,Feminino,Debora Souza,Saude,Tecnico de Laboratorio,,5,Ciencias Sociais,5456,Nao,10,3,9
80,50,Nao,Divorciado,Feminino,Gabriela Goncalves,Saude,Diretor de Pesquisa,7,2,Medicina,16701,Sim,27,3,13
81,59,Nao,Solteiro,Feminino,Jessica Rodrigues,Alimentos,Auditor,25,3,Ciencias Sociais,2354,Nao,21,16,7
83,36,Nao,Divorciado,Feminino,Patricia Oliveira,Saude,Representante da Saude,8,3,Formacao Tecnica,8202,Nao,17,14,12
84,55,Nao,Divorciado,Feminino,Daniela Silva,Saude,Gestor,8,3,Medicina,19730,Sim,5,0,0
91,59,Nao,Solteiro,Feminino,Fernanda Santos,Alimentos,Auditor,1,1,Ciencias Sociais,24668,Nao,4,3,1
97,36,Nao,Casado,Feminino,Paula Costa,Saude,Tecnico de Laboratorio,6,3,Ciencias Sociais,22002,Nao,1,0,0
98,31,Nao,Solteiro,Feminino,Amanda Lima,Saude,Diretor de Manufatura,8,4,Ciencias Sociais,20682,Nao,11,7,1
107,38,Nao,Divorciado,Feminino,Tatiane Pereira,Saude,Pesquisador,6,3,Medicina,15717,Sim,13,11,1
121,30,Nao,Divorciado,Feminino,Sabrina Almeida,Alimentos,Auditor,4,2,Medicina,19760,Sim,11,8,2
126,54,Nao,Casado,Feminino,Bianca Fernandes,Saude,Diretor de Pesquisa,2,4,Formacao Tecnica,24001,Nao,4,3,0
128,24,Nao,Casado,Feminino,Luana Martins,Alimentos,Auditor,3,2,Outros,17519,Nao,3,2,0
137,20,Sim,Solteiro,Feminino,Caroline Carvalho,Saude,Tecnico de Laboratorio,6,3,Ciencias Sociais,19783,Sim,1,0,1
138,34,Nao,Solteiro,Feminino,Vivian Goncalves,Saude,Pesquisador,6,4,Outros,12482,Nao,16,13,2
140,59,Nao,Casado,Feminino,Rafaela Rodrigues,Medicamentos,Gestor,,4,Recursos Humanos,21922,Nao,3,2,2
141,50,Nao,Casado,Feminino,Laura Oliveira,Saude,Diretor de Pesquisa,1,3,Ciencias Sociais,9755,Sim,8,3,0
144,22,Nao,Solteiro,Feminino,Isadora Silva,Saude,Tecnico de Laboratorio,15,3,Medicina,23785,Nao,0,0,0
145,51,Nao,Solteiro,Feminino,Beatriz Santos,Saude,Representante da Saude,1,4,Medicina,25796,Nao,13,12,12
148,54,Nao,Solteiro,Feminino,Alessandra Lima,Medicamentos,Gestor,26,3,Recursos Humanos,13871,Sim,5,3,4
151,34,Nao,Divorciado,Feminino,Raquel Pereira,Saude,Pesquisador,6,4,Ciencias Sociais,15000,Nao,1,0,0
153,34,Nao,Solteiro,Feminino,Michele Almeida,Saude,Gestor,5,3,Medicina,5615,Nao,11,10,5
154,36,Nao,Casado,Feminino,Patricia Fernandes,Alimentos,Auditor,11,2,Formacao Tecnica,22952,Nao,9,7,2
155,36,Nao,Divorciado,Feminino,Bruna Martins,Saude,Tecnico de Laboratorio,3,2,Ciencias Sociais,2561,Nao,1,0,0
161,56,Sim,Casado,Feminino,Vanessa Carvalho,Saude,Pesquisador,14,4,Ciencias Sociais,4510,Sim,5,4,4
164,26,Nao,Casado,Feminino,Renata Souza,Saude,Pesquisador,6,3,Outros,23300,Nao,5,4,4
165,58,Sim,Casado,Feminino,Amanda Goncalves,Saude,Representante da Saude,23,4,Medicina,3465,Nao,40,10,15
170,49,Nao,Casado,Feminino,Thais Rodrigues,Saude,Diretor de Manufatura,20,4,Medicina,5549,Nao,15,11,5
171,43,Nao,Solteiro,Feminino,Leticia Oliveira,Saude,Pesquisador,,3,Medicina,16090,Nao,3,2,1
174,50,Nao,Solteiro,Feminino,Natalia Santos,Alimentos,Auditor,12,3,Marketing,6645,Nao,2,2,2
175,31,Sim,Casado,Feminino,Ana Pereira,Alimentos,Auditor,20,3,Ciencias Sociais,24788,Sim,2,2,2
177,26,Nao,Casado,Feminino,Luana Almeida,Medicamentos,Tecnico de TI,25,1,Ciencias Sociais,8916,Nao,8,7,5
182,39,Nao,Casado,Feminino,Bruna Fernandes,Alimentos,Auditor,4,4,Ciencias Sociais,14590,Nao,15,11,5
190,32,Sim,Solteiro,Feminino,Amanda Martins,Saude,Tecnico de Laboratorio,9,3,Medicina,10224,Nao,5,4,0
